method,path,file,line
POST,/api/v2/hybrid-identity/switch-mode,backend/fastapi_app.py,3975
POST,/api/v2/hybrid-identity/process-reveal-request,backend/fastapi_app.py,4000
GET,/api/v2/hybrid-identity/analyze-survey-data,backend/fastapi_app.py,4025
GET,/api/v2/surveys,backend/fastapi_app.py,4070
GET,/api/v2/surveys/{survey_id},backend/fastapi_app.py,4104
POST,/api/v2/surveys,backend/fastapi_app.py,4133
PUT,/api/v2/surveys/{survey_id},backend/fastapi_app.py,4156
GET,/api/v2/surveys/{survey_id}/questions,backend/fastapi_app.py,4185
GET,/api/v2/surveys/{survey_id}/responses,backend/fastapi_app.py,4218
POST,/api/v2/surveys/responses,backend/fastapi_app.py,4272
GET,/api/v2/surveys/{survey_id}/analytics,backend/fastapi_app.py,4319
GET,/api/v2/notifications/unread-count,backend/fastapi_app.py,4356
POST,/api/v2/notifications/mark-read,backend/fastapi_app.py,4375
GET,/api/v2/objections/{objection_id},backend/fastapi_app.py,4405
GET,/api/v2/reports/bias/{cycle_id},backend/fastapi_app.py,4437
GET,/api/v2/reports/participation/{cycle_id},backend/fastapi_app.py,4448
GET,/api/v2/analytics/bias/{cycle_id},backend/fastapi_app.py,4463
GET,/api/v2/analytics/eom/{cycle_id},backend/fastapi_app.py,4474
GET,/api/v2/analytics/mre/{cycle_id},backend/fastapi_app.py,4506
GET,/api/v2/survey-templates/comprehensive,backend/fastapi_app.py,4529
GET,/api/v2/survey-templates/section/{category},backend/fastapi_app.py,4546
GET,/api/v2/admin/dashboard,backend/fastapi_app.py,4567
GET,/api/v2/admin/dashboard/overview-cards,backend/fastapi_app.py,4597
GET,/api/v2/admin/dashboard/real-time-metrics,backend/fastapi_app.py,4616
GET,/api/v2/admin/dashboard/identity-analytics,backend/fastapi_app.py,4635
GET,/api/v2/admin/settings,backend/fastapi_app.py,4707
PUT,/api/v2/admin/settings,backend/fastapi_app.py,4733
POST,/api/v2/admin/settings,backend/fastapi_app.py,4768
POST,/api/v2/integration/hr/setup,backend/fastapi_app.py,4836
GET,/api/v2/integration/evaluation-bridge,backend/fastapi_app.py,4858
POST,/api/v2/integration/sync/staff,backend/fastapi_app.py,4873
POST,/api/v2/integration/sync/evaluation,backend/fastapi_app.py,4888
POST,/api/v2/system/setup,backend/fastapi_app.py,4917
GET,/api/v2/system/go-live-checklist,backend/fastapi_app.py,4938
GET,/api/v2/audit-logs,backend/fastapi_app.py,4955
POST,/api/v2/admin/permissions/grant,backend/fastapi_app.py,5052
POST,/api/v2/admin/permissions/revoke,backend/fastapi_app.py,5112
GET,/api/v2/admin/permissions/{user_email},backend/fastapi_app.py,5151
POST,/api/v2/staff/{email}/assign-evaluators,backend/fastapi_app.py,5207
